date,total_purchase_amt,total_redeem_amt,is_weekend,is_holiday,is_firstday_of_holiday,is_lastday_of_holiday,is_work,is_gonna_work_tomorrow,is_worked_yestday,is_premonth,is_tailmonth,is_second_week,is_third_week,weekday_onehot_0,weekday_onehot_1,weekday_onehot_2,weekday_onehot_3,weekday_onehot_4,weekday_onehot_5,weekday_onehot_6,dis_to_nowork,dis_from_nowork,dis_to_work,dis_from_work,dis_to_holiendday,dis_from_holiendday,dis_from_middleofweek,dis_from_endofweek,dis_from_purchase_peak,dis_from_purchase_valley,purchase_weekday_median,purchase_weekday_mean,purchase_weekday_min,purchase_weekday_max,purchase_weekday_std,purchase_weekday_skew
2014-04-01,453320585.0,277429358.0,0,0,0,0,1,0,0,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,2,0,0,10,2,2,5,0,5,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-02,355347118.0,272612066.0,0,0,0,0,1,0,1,1,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,3,0,0,5,3,1,4,1,4,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-03,363877120.0,266605457.0,0,0,0,0,1,0,1,1,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,4,0,0,4,4,0,3,2,3,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-04,251895894.0,200192637.0,0,0,0,0,1,0,1,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,5,0,0,3,5,1,2,3,2,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-05,202336542.0,163199682.0,1,1,1,0,0,0,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,3,1,2,10,2,1,4,1,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-06,129477254.0,139576683.0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,2,2,1,10,3,0,5,0,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-07,196936223.0,176966561.0,0,1,0,1,0,1,0,1,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,3,0,0,3,6,1,6,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-08,354770149.0,250015131.0,0,0,0,0,1,0,0,1,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,10,1,2,5,0,5,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-09,383347565.0,289330278.0,0,0,0,0,1,0,1,1,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,10,2,1,4,1,4,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-10,386567460.0,286914864.0,0,0,0,0,1,0,1,1,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,3,0,0,10,3,0,3,2,3,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
