date,total_purchase_amt,total_redeem_amt,is_weekend,is_holiday,is_firstday_of_holiday,is_lastday_of_holiday,is_firstday_of_work,is_work,is_gonna_work_tomorrow,is_secday_of_month,is_midmonth,is_tailmonth,weekday_onehot_0,weekday_onehot_1,weekday_onehot_2,weekday_onehot_5,weekday_onehot_6,dis_to_nowork,dis_from_nowork,dis_to_work,dis_from_work,dis_from_holiday,dis_to_holiendday,dis_from_endofweek,dis_from_redeem_peak,dis_from_redeem_valley,redeem_weekday_median,redeem_weekday_mean,redeem_weekday_min,redeem_weekday_max,redeem_weekday_skew
2014-03-31,398884905.0,423852634.0,0,0,0,0,0,1,0,0,0,1,1.0,0.0,0.0,0.0,0.0,5,1,0,0,1,10,6,1,6,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-01,453320585.0,277429358.0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,4,2,0,0,2,10,5,0,5,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-02,355347118.0,272612066.0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,3,3,0,0,3,5,4,1,4,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-03,363877120.0,266605457.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,4,0,0,4,4,3,2,3,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-04,251895894.0,200192637.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,5,0,0,5,3,2,3,2,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-05,202336542.0,163199682.0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,3,1,0,2,1,4,1,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-06,129477254.0,139576683.0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,2,2,0,1,0,5,0,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-07,196936223.0,176966561.0,0,1,0,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,1,3,0,0,6,1,6,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-08,354770149.0,250015131.0,0,0,0,0,1,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,4,1,0,0,1,10,5,0,5,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-09,383347565.0,289330278.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,3,2,0,0,2,10,4,1,4,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-10,386567460.0,286914864.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,3,0,0,3,10,3,2,3,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-11,237829882.0,277077434.0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1,4,0,0,4,10,2,3,2,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-12,177642053.0,123295320.0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0,0,2,1,5,10,1,4,1,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-13,208172985.0,178934722.0,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0,0,1,2,10,10,0,5,0,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-14,309853269.0,415986984.0,0,0,0,0,0,1,0,0,1,0,1.0,0.0,0.0,0.0,0.0,5,1,0,0,10,10,6,1,6,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-15,428681231.0,285293076.0,0,0,0,0,0,1,0,0,1,0,0.0,1.0,0.0,0.0,0.0,4,2,0,0,10,10,5,0,5,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-16,387847838.0,255914640.0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,1.0,0.0,0.0,3,3,0,0,10,10,4,1,4,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-17,355792647.0,265341592.0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2,4,0,0,10,10,3,2,3,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
